Date,Open,High,Low,Close
2024-02-20,51949.1,52968,50765.8,52202.6
2024-02-21,52178.7,52516,50648.5,51515
2024-02-22,51511.3,52028,50915.9,51445.8
2024-02-23,51422.8,51516.6,50643.6,51077.4
2024-02-26,51713.7,54948,50914.6,54695.6
2024-02-27,54695.6,57564.2,54478,56915.8
2024-02-28,56932.3,64076.2,56725.3,61304.1
2024-02-29,61318,63684.1,60376.9,61260.2
2024-03-01,61274.8,63179.9,60798,62749
2024-03-04,62870.5,67997.6,62409.8,67997.6
2024-03-05,68002.2,68992.1,60343.8,63491.2
2024-03-06,63469.8,67634.7,62832.6,65997.8
2024-03-07,65949.5,68048,65608.1,67204.3
2024-03-08,67198.4,69981.9,66315.6,69179.7
2024-03-11,68503.9,72858.6,67640.2,72455.8
2024-03-12,72455.3,72813,69082.7,71167.2
2024-03-13,71167.2,73671.3,71041.3,72987.9
2024-03-14,72987.9,73532.1,68669,71514.3
2024-03-15,71503.6,72387.7,65630.1,67918.1
2024-03-18,68201.1,68907.5,66570.8,67691.9
2024-03-19,67688.3,68100.8,62424.3,62584.4
2024-03-20,62579,67908.4,60792.8,67489.5
2024-03-21,67488.6,67649.3,64549.8,65385.1
2024-03-22,65377.4,66632,62600.5,63493.2
2024-03-25,66947.3,71169.3,66387.3,70324.9
2024-03-26,70324.9,71580.4,69313.9,70250.3
2024-03-27,70250.8,71756,68378.4,69415.5
2024-03-28,69415.5,71561.9,68852,70863.1
2024-04-01,70876.2,71371.4,68180.7,69612.6
2024-04-02,69619.9,69900.7,64570.7,65708.2
2024-04-03,65718.5,66930.3,64545.2,65927.4
2024-04-04,65949.1,69323.6,65084.2,67787.4
2024-04-05,67806.2,68754.5,65990.4,67412.2
2024-04-08,69056.4,72725.1,68908,71697.9
2024-04-09,71685.1,71993.7,68221.2,69182.1
2024-04-10,69183,70135.5,67483.6,70015.2
2024-04-11,70015.2,71271.2,69556.5,70120.3
2024-04-12,70120.8,71233.6,65641.3,66758.7
2024-04-15,63796.2,66905.2,62311.1,63273.9
2024-04-16,63296.7,64349.2,61726.4,64029
2024-04-17,64020,64489.9,59687.5,61291.4
2024-04-18,61326.7,64147.7,60822.8,63547.7
2024-04-19,63514.6,65483.1,59607.8,64264
2024-04-22,64667.1,66849.3,64519,66546.4
2024-04-23,66571.6,67239.5,65821.5,66350.3
2024-04-24,66350.3,67073.1,63559.8,64337.2
2024-04-25,64333.5,65237.1,62755.7,64683
2024-04-26,64672.5,64813.8,63322.3,63811.7
2024-04-29,63577.6,63721.4,61834.5,63092.2
2024-04-30,63086.7,64698.5,59113.8,60113.1
2024-05-01,60106.9,60984.5,56509.9,57800.7
2024-05-02,57822.1,59581.9,56898.6,59115.6
2024-05-03,59112.8,62163.1,58817.3,62035.5
2024-05-06,63839.8,65484,62699.4,63555.4
2024-05-07,63542.8,64396.4,62792.7,63078.3
2024-05-08,63076.3,63122.5,61378.6,61474.1
2024-05-09,61451.1,62809.7,60621.4,62533.6
2024-05-10,62543.7,63457,60182.5,60620
2024-05-13,61223.8,63437.6,60737.1,62893
2024-05-14,62909.6,63100.6,61118.3,61672.4
2024-05-15,61672.4,66442,61307.9,65895.2
2024-05-16,65915.2,66744.5,64609.9,65468.1
2024-05-17,65468.1,67474.1,65113.4,66953.6
2024-05-20,66278.7,70285.9,66060.6,69707.2
2024-05-21,69744.7,71957.4,69148.6,69756.8
2024-05-22,69702.4,70592,68923.2,69469.5
2024-05-23,69479.1,70036.3,66494.2,67872
2024-05-24,67946.7,69223.7,66611.6,69160.1
2024-05-27,68470.1,70600.5,68205.3,69734
2024-05-28,69701.4,69701.4,67235,68314.4
2024-05-29,68302.2,68853.4,67097.8,67626
2024-05-30,67611.8,69472.9,67099.2,68392.9
2024-05-31,68392.9,68986.9,66627.1,67658.9
2024-06-03,67776.8,70266.6,67573,69062.6
2024-06-04,69069.8,71059.5,68547.1,70620.4
2024-06-05,70620.4,71767.4,70382.3,71145
2024-06-06,71146,71630.6,70100.6,70718.3
2024-06-07,70718.3,71924.8,68769.1,69188.3
2024-06-10,69773.9,70165.5,69166.3,69566.6
2024-06-11,69568.1,69572.9,66022.2,67382.7
2024-06-12,67390.8,69999.5,66898.5,68513.7
2024-06-13,68513.7,68517.5,66299.3,66930.3
2024-06-14,66943.3,67321,65033,65470.7
2024-06-17,66522.9,67248.1,65074.9,66527.4
2024-06-18,66541.5,66685.3,64048.7,65184.3
2024-06-19,65184.3,65712.5,64650.8,64978.5
2024-06-20,64978.5,66455.3,64514.4,65004.2
2024-06-21,65004.2,65100.7,63403,64305.3
2024-06-24,63794.6,63794.6,58495.2,60036.2
2024-06-25,60075.5,62381.8,59941.6,61905.7
2024-06-26,61908.3,62468.7,60683.2,61013.1
2024-06-27,61006.4,62322.3,60561.6,61448.8
2024-06-28,61453.7,62150,59977.2,60064
2024-07-01,61843.6,63790.5,61843.6,63077.5
2024-07-02,63045.7,63216.3,61735.6,61858.9
2024-07-03,61858.9,62190.2,59350.7,60203.2
2024-07-04,60176,60431.3,56729.8,58461.4
2024-07-05,58460.3,58731.6,53742.3,56481.2
2024-07-08,56571.6,57904.5,54276.1,56666.8
2024-07-09,56637.6,58249.5,56291.7,57799.1
2024-07-10,57815.1,59421.9,57150.6,57445.5
2024-07-11,57424.4,59352.4,57108.5,57458.3
2024-07-12,57458.3,58536,56542.5,57657.1
2024-07-15,61387.7,63845.9,60664.5,63564.3
2024-07-16,63564.3,65207.3,62402.8,64522.3
2024-07-17,64516.5,66104.7,63867.5,64323.9
2024-07-18,64322.7,65110.9,63233.1,63837.3
2024-07-19,63837.3,67404,63293.5,66977.4
2024-07-22,68222.5,68476.2,66577,67853.6
2024-07-23,67866.5,67875.2,65475,65880
2024-07-24,65880,67105,65192.8,65618
2024-07-25,65658.5,65980.9,63437.2,65818.9
2024-07-26,65821,68133.8,65620.6,67928.3
2024-07-29,68032.7,70020.6,66440.7,67492.7
2024-07-30,67481.8,67545.6,65287.3,66283.5
2024-07-31,66302.4,66805.6,64499,64953.6
2024-08-01,64962.4,65290.7,62256.8,64818.8
2024-08-02,64849.5,65558.2,62390.8,62631.5
2024-08-05,58448,59100.9,49060.2,54426.5
2024-08-06,54375.9,57046.6,53921.4,56491.7
2024-08-07,56479.6,57713.3,54676.4,55435.7
2024-08-08,55425.6,61341,54579.1,61090.3
2024-08-09,61202.1,62662.5,59668.7,60732.3
2024-08-12,59015.8,60611.5,57672.1,58976.1
2024-08-13,58976.5,61587.7,58487.3,61037.3
2024-08-14,61041.4,61781.4,58675.4,58918.4
2024-08-15,58931.3,59838.6,56112.9,57638.5
2024-08-16,57600.3,59840.8,57152.6,59698.6
2024-08-19,59455.1,59590.1,57843.9,58980.6
2024-08-20,58992.5,61396,58606.3,59297.5
2024-08-21,59292.2,61830.3,58814.1,61238.4
2024-08-22,61238.4,61511.9,59796.8,60548.8
2024-08-23,60559,63841.4,60311.8,63622.1
2024-08-26,64422.6,65024.1,62899,63170.3
2024-08-27,63167.2,63291.5,59999.5,60412
2024-08-28,60394.1,60394.1,57873,59118.4
2024-08-29,59121.5,61175.5,58851.2,59496.1
2024-08-30,59495.4,59878.4,57730.3,58776.8
2024-09-02,58341,59264.8,57131.1,59037.1
2024-09-03,59041.2,59803.2,57554.2,58097.3
2024-09-04,58122.9,58519.9,55686.1,58093.6
2024-09-05,58093.9,58383.5,55710.9,56130.8
2024-09-06,56130.5,56971.9,53233.1,53512.8
2024-09-09,54483.7,57941.1,54336.8,57464.6
2024-09-10,57458.3,58040.3,56399.9,57503.9
2024-09-11,57514.2,57981.7,55559.2,57353.2
2024-09-12,57357.2,58525,57225.2,57916.6
2024-09-13,57905.5,60012.8,57644.8,59693.6
2024-09-16,59667.6,59691.8,57481.5,57977
2024-09-17,57967.9,61323.7,57609.9,60338.7
2024-09-18,60329.6,61318.8,59206.6,60201.4
2024-09-19,60201.4,63863.4,60201.4,62899
2024-09-20,62880.8,64108.7,62352.6,62865.4
2024-09-23,62756.5,64732.4,62383.4,63386.2
2024-09-24,63370.9,64575.7,62718.3,64027
2024-09-25,64027,64808.3,62995.3,63427.2
2024-09-26,63427.2,65825.8,62654.6,65063.9
2024-09-27,65058.8,66469,64742.5,65719.8
2024-09-30,65852.7,65988.7,63042.5,63686.5
2024-10-01,63686.5,64121,60151.8,61153.1
2024-10-02,61110.1,62347.6,59983.3,60815.7
2024-10-03,60815.4,61466.9,59861.9,60799.8
2024-10-04,60799.8,62462.5,60449.9,62343.7
2024-10-07,62309.5,64437.5,62309.5,63355.2
2024-10-08,63355.2,63355.2,61838.3,62401.3
2024-10-09,62398.9,62504.2,60295.8,60850.9
2024-10-10,60820.9,61245.2,58867.1,60122.1
2024-10-11,60130.8,63401,59880.9,63022.6
2024-10-14,62881.6,66262.9,62432.4,65777.7
2024-10-15,65775.6,67848.5,64816.7,66421.3
2024-10-16,66415.6,68395.7,66392.2,67556.6
2024-10-17,67569.8,67926,66642.2,67064.5
2024-10-18,67080.7,68993.1,67080.7,68585.2
2024-10-21,68779.5,69488.3,66806,67786.4
2024-10-22,67771.7,67851.3,66545.1,67486.4
2024-10-23,67484.5,67785.1,65177.1,66343.7
2024-10-24,66343.7,68801.3,66278.7,68306.4
2024-10-25,68306.4,68726.1,65873.5,66786.4
2024-10-28,68030.4,70192.1,67522.4,69912.9
2024-10-29,69920.7,73605.7,69694.1,72616.8
2024-10-30,72637.9,72930.9,71409.6,72374.6
2024-10-31,72363,72677.5,69586.5,70371.9
2024-11-01,70368.5,71587,68763.9,69192.6
2024-11-04,68848.7,69456.5,66787.7,67885.4
2024-11-05,67896.9,70523.3,67433.1,69586
2024-11-06,69586,76467.2,69287.5,75684.1
2024-11-07,75684.1,76934.9,74460.7,75908.2
2024-11-08,75908.2,77264.8,75640.6,76677.7
2024-11-11,80588.6,88465.8,80019.8,88143.7
2024-11-12,88080.1,90018.7,85138.9,88638.3
2024-11-13,88650.1,93470.1,86245.5,89785.1
2024-11-14,89791.5,91800.3,87035.2,87718.5
2024-11-15,87647.7,91497.1,86672.3,91283.3
2024-11-18,89503.8,92601.1,89336.7,91239.2
2024-11-19,91230,94007,90310.5,91942.1
2024-11-20,91942.1,94900,91631.3,94225.8
2024-11-21,94225.8,99047.1,93841.2,98427.1
2024-11-22,98441.6,99668.1,97198.7,99189.6
2024-11-25,98092.1,98960.9,92588.3,94373.4
2024-11-26,94373.4,94992,90771.2,91754.9
2024-11-27,91731.3,97354.8,91570.8,96132.5
2024-11-28,96143.6,96658.5,94667.3,95650.7
2024-11-29,95657.1,98716.6,95374.3,97373.8
2024-12-02,97647.6,98188.4,94400.1,95406.1
2024-12-03,95378.8,96310.3,93601.4,96151
2024-12-04,96180.6,99213.2,94670,98312.9
2024-12-05,98312.9,104061,93083.8,96737.9
2024-12-06,96741.7,102079,95606.8,101517
2024-12-09,100289,101406,94879.3,96993.2
2024-12-10,96993.2,98284.9,94311.1,96898.2
2024-12-11,96897.3,101951,95714.8,101252
2024-12-12,101259,102541,99329.5,100467
2024-12-13,100484,101903,99223,101631
2024-12-16,103229,107809,103229,105844
2024-12-17,105844,108323,105346,105982
2024-12-18,105962,106481,100237,101110
2024-12-19,101091,102746,95581.2,98219.2
2024-12-20,98222.1,98271.4,92159.9,96413.4
2024-12-23,95402.5,96426.4,92386.4,95049.8
2024-12-24,95074.2,99423.3,93435.2,98705.9
2024-12-26,98771.2,99843.2,95097.7,95708.4
2024-12-27,95707.5,97234.6,93343.6,94500
2024-12-30,93060.4,94918,91309.1,92611.4
2024-12-31,92617.4,96105.7,91901.6,93315.7
2025-01-02,94606.4,97735.4,94200,96812.9
2025-01-03,96812.9,98934.4,96019.9,98303.2
2025-01-06,98652.4,102458,97900,102041
2025-01-07,102041,102721,96134.4,97128.8
2025-01-08,97138.3,97251.6,92520.6,95261.6
2025-01-09,95262.5,95351.6,91195.9,92466.7
2025-01-10,92451.3,95774.4,92033.5,94616.3
2025-01-13,93910.8,95857.9,89554.3,94360.9
2025-01-14,94360.9,97346.3,94147.7,96688.4
2025-01-15,96647.3,100699,96465.5,99708.8
2025-01-16,99717.7,100853,97346.3,99820.3
2025-01-17,99785.4,105925,99723.7,104748
2025-01-20,103002,109118,99476.7,103466
2025-01-21,103519,107215,100092,106013
2025-01-22,106064,106314,103327,103803
2025-01-23,103816,106722,101235,103996
2025-01-24,103969,107147,102734,105020
2025-01-27,104284,104284,97777.5,101607
2025-01-28,101597,103658,100214,101199
2025-01-29,101198,104758,100722,103488
2025-01-30,103475,106422,103335,105119
2025-01-31,105104,105999,101578,101597
2025-02-03,97930.7,102565,91583.4,101715
2025-02-04,101770,101930,96181.5,97688.6
2025-02-05,97708.7,99095.2,96264.9,96502.7
2025-02-06,96445,99155.1,95697.4,96945.2
2025-02-07,96955.5,100191,95664.4,95919.5
2025-02-10,95918.6,98337.1,95645.2,97427.9
2025-02-11,97389,98490.1,94859.5,95537.4
2025-02-12,95580.3,98117.1,94139.7,97817.6
2025-02-13,97790.9,98094.9,95244.4,96360.4
2025-02-14,96417.1,98844.5,96285.3,97153.4
2025-02-17,96890.7,97030.8,95222.6,95867.1
2025-02-18,95887.3,96686.5,93341.9,95267.1
2025-02-19,95257.1,96680.9,94989.3,96527.8
2025-02-20,96526.9,98741,96405.9,98149.8
2025-02-21,98149.8,99502.4,94827.1,95143.8
2025-02-24,95787.2,96502.7,92371.9,92437.6
2025-02-25,92425.7,92847,85957.1,88719.3
2025-02-26,88718.5,89297.6,82579.1,84219.7
2025-02-27,84227.5,86968.6,82601.6,84604.5
2025-02-28,84608,85071.6,78222.1,84128.3
2025-03-03,94273.8,94805.6,85060,86574.8
2025-03-04,86553.1,88916.5,81681.3,87456.9
2025-03-05,87472.2,90680.7,86328.9,90446.9
2025-03-06,90396.2,92806.5,87831.7,90297.5
2025-03-07,90346.4,91218.4,84731.4,87704.6
2025-03-10,80339.3,84026.5,77410.7,79453.3
2025-03-11,79462.1,83586.1,76755.9,83111.7
2025-03-12,83111.7,83740.1,80778.7,83634.4
2025-03-13,83621.1,84309.9,79919.4,81362.3
2025-03-14,81351.7,85290.7,80795,84147.4
2025-03-17,82094.3,84738.5,82012.2,84055.5
2025-03-18,84055.5,84136.8,81141.8,82370.2
2025-03-19,82364.1,86487.9,82334.3,86148.9
2025-03-20,86239.6,87443.9,83620.4,84092.9
2025-03-21,84100.7,84799.6,83150.4,84170.8
2025-03-24,85361.3,88740.5,85361.3,87437
2025-03-25,87443.9,88535.5,86334.1,87492.8
2025-03-26,87480.6,88261.2,85870,86834.1
2025-03-27,86819.1,87701.6,85845,87355.3
2025-03-28,87341.5,87464.5,83546.3,83761.9
2025-03-31,82183.4,83841.2,81294.8,82519.1
2025-04-01,82522.5,85449.6,82243.6,85176.6
2025-04-02,85210,88206.7,83919.3,84792.4
2025-04-03,84812.6,84812.6,81215.6,82688.3
2025-04-04,82674.6,84690.4,81690.6,84016.6
2025-04-07,78885.5,81182.6,74445.1,79192.8
2025-04-08,79201.6,80823.1,76258.4,77016.6
2025-04-09,77036.8,83570.8,74575.6,83277.8
2025-04-10,83261.1,83479.4,78428.9,79672.3
2025-04-11,79685,84147.4,78920.3,83869.3
